zip,modzcta,dbn,feeder_school,n_hs_applicants,n_testers,n_offers,year,positive,total,modzcta_cum_perc_pos,3_2020,4_2020,5_2020,6_2020,7_2020,8_2020,9_2020,10_2020,11_2020,12_2020
10010,10010,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL (02M347),12,5,5,2019,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL (02M413),96,23,6,2019,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M104,J.H.S. 104 SIMON BARUCH (02M104),344,196,45,2020,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL (02M347),15,6,5,2020,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10010,10010,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL (02M413),93,32,5,2020,267,2771,9.6,NA,54,NA,0,0,0,0,0,NA,NA
10011,10011,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,162,162,108,2015,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10011,10011,02M422,QUEST TO LEARN,51,51,17,2015,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10011,10011,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,174,150,112,2016,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10011,10011,02M422,QUEST TO LEARN,89,35,7,2016,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10011,10011,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,181,163,113,2017,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10011,10011,02M422,QUEST TO LEARN,96,33,5,2017,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10011,10011,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,186,168,124,2018,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10011,10011,02M422,QUEST TO LEARN,76,26,5,2018,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10011,10011,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES (02M312),186,163,113,2019,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10011,10011,02M422,QUEST TO LEARN (02M422),58,13,5,2019,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10011,10011,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES (02M312),179,169,117,2020,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10011,10011,02M422,QUEST TO LEARN (02M422),46,7,5,2020,521,3829,13.6,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0
10012,10012,NA,NA,NA,NA,NA,NA,162,1412,11.5,NA,56.2,NA,NA,0,0,0,0,0,NA
10013,10013,NA,NA,NA,NA,NA,NA,261,1999,13.1,NA,48.6,NA,NA,0,0,NA,NA,NA,NA
10014,10014,02M297,M.S. 297 (02M297),236,75,6,2019,299,2369,12.6,16.5,62.6,NA,NA,NA,0,0,0,0,NA
10014,10014,02M297,M.S. 297 (02M297),297,99,28,2020,299,2369,12.6,16.5,62.6,NA,NA,NA,0,0,0,0,NA
10016,10016,NA,NA,NA,NA,NA,NA,686,5063,13.5,19.6,68.7,NA,NA,0,NA,0,NA,NA,NA
10017,10017,NA,NA,NA,NA,NA,NA,143,1293,11.1,NA,64,NA,0,NA,NA,0,NA,0,NA
10018,10018,NA,NA,NA,NA,NA,NA,204,1247,16.4,NA,42.4,0,0,NA,NA,0,NA,0,0
10019,10019,NA,NA,NA,NA,NA,NA,598,4008,14.9,NA,96.5,NA,NA,NA,0,NA,NA,0,NA
10020,10019,NA,NA,NA,NA,NA,NA,598,4008,14.9,NA,96.5,NA,NA,NA,0,NA,NA,0,NA
10021,10021,02M167,J.H.S. 167 ROBERT F. WAGNER,283,283,78,2015,561,4291,13.1,24,104.6,26.2,NA,0,NA,0,NA,NA,NA
10021,10021,02M167,J.H.S. 167 ROBERT F. WAGNER,437,228,68,2016,561,4291,13.1,24,104.6,26.2,NA,0,NA,0,NA,NA,NA
10021,10021,02M167,J.H.S. 167 ROBERT F. WAGNER,430,258,77,2017,561,4291,13.1,24,104.6,26.2,NA,0,NA,0,NA,NA,NA
10021,10021,02M167,J.H.S. 167 ROBERT F. WAGNER,471,269,75,2018,561,4291,13.1,24,104.6,26.2,NA,0,NA,0,NA,NA,NA
10021,10021,02M167,J.H.S. 167 ROBERT F. WAGNER (02M167),454,266,73,2019,561,4291,13.1,24,104.6,26.2,NA,0,NA,0,NA,NA,NA
10021,10021,02M167,J.H.S. 167 ROBERT F. WAGNER (02M167),420,227,73,2020,561,4291,13.1,24,104.6,26.2,NA,0,NA,0,NA,NA,NA
10022,10022,NA,NA,NA,NA,NA,NA,338,2804,12.1,NA,71.2,29.1,NA,0,0,NA,0,NA,NA
10023,10023,03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,5,5,5,2015,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M291,WEST END SECONDARY SCHOOL,5,5,5,2015,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M859,SPECIAL MUSIC SCHOOL,12,12,5,2015,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,49,6,5,2016,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M859,SPECIAL MUSIC SCHOOL,14,5,5,2016,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,35,6,5,2017,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M291,WEST END SECONDARY SCHOOL,133,31,6,2017,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M859,SPECIAL MUSIC SCHOOL,16,10,7,2017,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,60,5,5,2018,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M291,WEST END SECONDARY SCHOOL,100,33,6,2018,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M859,SPECIAL MUSIC SCHOOL,14,8,5,2018,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS (03M191),56,14,5,2019,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M291,WEST END SECONDARY SCHOOL (03M291),108,55,19,2019,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M859,SPECIAL MUSIC SCHOOL (03M859),18,5,5,2019,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS (03M191),68,10,5,2020,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
10023,10023,03M291,WEST END SECONDARY SCHOOL (03M291),105,29,12,2020,558,4722,11.8,19.4,76.1,9.7,0,NA,0,0,NA,0,NA
