date,zcta,deathrate
8/2020,10455,NA
8/2020,10456,NA
8/2020,10457,NA
8/2020,10458,0
8/2020,10459,NA
8/2020,10460,0
8/2020,10461,NA
8/2020,10462,0
8/2020,10463,NA
8/2020,10464,NA
8/2020,10465,NA
8/2020,10466,NA
8/2020,10467,4.9
8/2020,10468,NA
8/2020,10469,NA
8/2020,10470,NA
8/2020,10471,NA
8/2020,10472,NA
8/2020,10473,NA
8/2020,10474,0
8/2020,10475,0
8/2020,11004,0
8/2020,11101,NA
8/2020,11102,NA
8/2020,11103,NA
8/2020,11104,0
8/2020,11105,NA
8/2020,11106,NA
8/2020,11109,0
8/2020,11201,NA
8/2020,11203,0
8/2020,11204,NA
8/2020,11205,0
8/2020,11206,NA
8/2020,11207,NA
8/2020,11208,NA
8/2020,11209,NA
8/2020,11210,0
8/2020,11211,0
8/2020,11212,NA
8/2020,11213,NA
8/2020,11214,NA
8/2020,11215,NA
8/2020,11216,NA
8/2020,11217,0
8/2020,11218,0
8/2020,11219,NA
8/2020,11220,NA
8/2020,11221,NA
8/2020,11222,NA
8/2020,11223,0
8/2020,11224,NA
8/2020,11225,0
8/2020,11226,NA
8/2020,11228,0
8/2020,11229,NA
8/2020,11230,NA
8/2020,11231,0
8/2020,11232,0
8/2020,11233,NA
8/2020,11234,0
8/2020,11235,NA
8/2020,11236,NA
8/2020,11237,NA
8/2020,11238,NA
8/2020,11239,0
8/2020,11354,NA
8/2020,11355,NA
8/2020,11356,0
8/2020,11357,NA
8/2020,11358,0
8/2020,11360,NA
8/2020,11361,NA
8/2020,11362,NA
8/2020,11363,NA
8/2020,11364,0
8/2020,11365,0
8/2020,11366,NA
8/2020,11367,0
8/2020,11368,0
8/2020,11369,NA
8/2020,11370,0
8/2020,11372,8.2
8/2020,11373,NA
8/2020,11374,0
8/2020,11375,0
8/2020,11377,0
8/2020,11378,0
8/2020,11379,NA
8/2020,11385,NA
8/2020,11411,NA
8/2020,11412,0
8/2020,11413,0
8/2020,11414,0
8/2020,11415,NA
8/2020,11416,0
8/2020,11417,NA
8/2020,11418,NA
8/2020,11419,0
8/2020,11420,0
8/2020,11421,0
8/2020,11422,0
8/2020,11423,NA
8/2020,11426,0
8/2020,11427,0
8/2020,11428,0
8/2020,11429,0
8/2020,11432,0
8/2020,11433,0
8/2020,11434,NA
8/2020,11435,0
8/2020,11436,0
8/2020,11691,NA
8/2020,11692,0
8/2020,11693,NA
8/2020,11694,NA
8/2020,11697,NA
9/2020,10001,NA
9/2020,10002,0
9/2020,10003,NA
9/2020,10004,NA
9/2020,10005,NA
9/2020,10006,NA
9/2020,10007,NA
9/2020,10009,NA
9/2020,10010,0
9/2020,10011,0
9/2020,10012,0
9/2020,10013,NA
9/2020,10014,0
9/2020,10016,0
9/2020,10017,0
9/2020,10018,0
9/2020,10019,NA
9/2020,10021,0
9/2020,10022,NA
9/2020,10023,0
9/2020,10024,0
9/2020,10025,NA
9/2020,10026,NA
9/2020,10027,NA
9/2020,10028,NA
9/2020,10029,NA
9/2020,10030,NA
9/2020,10031,NA
9/2020,10032,NA
9/2020,10033,0
9/2020,10034,0
9/2020,10035,NA
9/2020,10036,0
9/2020,10037,NA
9/2020,10038,0
9/2020,10039,0
9/2020,10040,0
9/2020,10044,NA
9/2020,10065,NA
9/2020,10069,0
9/2020,10075,0
9/2020,10128,NA
9/2020,10280,NA
9/2020,10282,NA
9/2020,10301,0
9/2020,10302,0
9/2020,10303,0
9/2020,10304,0
9/2020,10305,0
9/2020,10306,0
9/2020,10307,0
9/2020,10308,0
9/2020,10309,0
9/2020,10310,NA
9/2020,10312,0
9/2020,10314,NA
9/2020,10451,0
9/2020,10452,0
9/2020,10453,NA
9/2020,10454,NA
9/2020,10455,0
